"Parameter","NH_Est","NH_SE","HY_Est","HY_SE","JT_Est","JT_SE"
"β GEN  (Generic)",3.9094,0.5227,5.8868,0.6536,5.2285,0.5137
"β GT   (Guaranteed Tender)",10.0676,0.8867,12.5954,1.1989,12.4289,0.9639
"β NAT  (Natural)",5.9844,1.166,11.1365,1.6456,9.3556,1.2035
"β CHO  (USDA Choice)",9.2681,0.667,13.4089,1.0984,12.1501,0.8534
"β CAB  (Certified Angus Beef)",4.5184,0.4932,5.1333,0.7168,5.2656,0.5034
"α GEN  (price)",-1.088,0.1284,-1.1654,0.1541,-1.2759,0.1224
"α GT   (price)",-1.6216,0.1435,-1.7957,0.1916,-1.9218,0.1522
"α NAT  (price)",-1.1629,0.1949,-1.7176,0.2798,-1.625,0.2023
"α CHO  (price)",-1.3998,0.1032,-1.8344,0.1699,-1.7724,0.1278
"α CAB  (price)",-0.5974,0.0641,-0.5294,0.091,-0.649,0.0637
